2023-05-22 16:05:835 INFO  CustomersPage :25 - Click on customer login tab
2023-05-22 16:05:280 INFO  OpenAccountPage :36 - Search customer that created in first Test :[[ChromeDriver: chrome on WINDOWS (dc84911763c16fdd22ca6ac960ffca7e)] -> css selector: #userSelect]
2023-05-22 16:05:369 INFO  CustomerLoginPage :30 - Click on Login Button
2023-05-22 16:05:684 INFO  CustomerLoginPage :36 - Click on LogOut
2023-05-22 16:05:906 INFO  CustomersPage :25 - Click on customer login tab
2023-05-22 16:05:356 INFO  OpenAccountPage :36 - Search customer that created in first Test :[[ChromeDriver: chrome on WINDOWS (56750e2c93c4dbe95f1acd10df6d3da3)] -> css selector: #userSelect]
2023-05-22 16:05:428 INFO  CustomerLoginPage :30 - Click on Login Button
2023-05-22 16:05:807 INFO  AccountPage :46 - Click on Deposit tab
2023-05-22 16:05:135 INFO  AccountPage :52 - Enter amount 100 : [[ChromeDriver: chrome on WINDOWS (56750e2c93c4dbe95f1acd10df6d3da3)] -> xpath: //input[@placeholder='amount']]
2023-05-22 16:05:242 INFO  AccountPage :58 - Click on Deposit Button
2023-05-22 16:05:609 INFO  CustomersPage :25 - Click on customer login tab
2023-05-22 16:05:159 INFO  OpenAccountPage :36 - Search customer that created in first Test :[[ChromeDriver: chrome on WINDOWS (06a285cf8a2416ad2744aa67d580daff)] -> css selector: #userSelect]
2023-05-22 16:05:221 INFO  CustomerLoginPage :30 - Click on Login Button
2023-05-22 16:05:388 INFO  HomePage :28 - Click on Add customer tab
2023-05-22 16:05:912 INFO  AddCustomerPage :37 - Enter First Name : Seema
2023-05-22 16:05:38 INFO  AddCustomerPage :43 - Enter Last Name :Patel
2023-05-22 16:05:169 INFO  AddCustomerPage :49 - Enter PostCode :HA9 3JJ
2023-05-22 16:05:271 INFO  AddCustomerPage :55 - Click on Add Customer Button 
2023-05-22 16:05:525 INFO  HomePage :34 - Click on open Account Tab
2023-05-22 16:05:128 INFO  OpenAccountPage :36 - Search customer that created in first Test :[[ChromeDriver: chrome on WINDOWS (da45d5999d20c2bddb0350147aadbbf6)] -> css selector: #userSelect]
2023-05-22 16:05:301 INFO  OpenAccountPage :42 - Select Currency : By.xpath: //select[@id='currency']
2023-05-22 16:05:458 INFO  OpenAccountPage :48 - Click on Process
2023-05-22 16:05:364 INFO  CustomersPage :25 - Click on customer login tab
2023-05-22 16:05:727 INFO  OpenAccountPage :36 - Search customer that created in first Test :[[ChromeDriver: chrome on WINDOWS (162e050fc514a2aba47d2eb221b474d9)] -> css selector: #userSelect]
2023-05-22 16:05:824 INFO  CustomerLoginPage :30 - Click on Login Button
